Ensemble No. 	 Bond Length Range 	 Entropy(kcal/mol) 	 Snapshots
1 	 3.0090 	 2.8770 	 31.3097 	 0.0000 	 33497
2 	 2.9680 	 2.8360 	 30.8832 	 -0.4265 	 37095
3 	 2.9271 	 2.7951 	 30.6062 	 -0.7035 	 39709
4 	 2.8861 	 2.7541 	 30.4221 	 -0.8876 	 41188
5 	 2.8451 	 2.7131 	 30.2779 	 -1.0318 	 41138
6 	 2.8042 	 2.6722 	 30.2276 	 -1.0821 	 40220
7 	 2.7632 	 2.6312 	 30.2510 	 -1.0587 	 38549
8 	 2.7222 	 2.5902 	 30.3215 	 -0.9882 	 36309
9 	 2.6813 	 2.5493 	 30.4407 	 -0.8690 	 34238
10 	 2.6403 	 2.5083 	 30.5624 	 -0.7473 	 32219
11 	 2.5993 	 2.4673 	 30.6796 	 -0.6301 	 30592
12 	 2.5584 	 2.4264 	 30.7690 	 -0.5407 	 28681
13 	 2.5174 	 2.3854 	 30.8673 	 -0.4424 	 26990
14 	 2.4764 	 2.3444 	 30.9863 	 -0.3234 	 25163
15 	 2.4355 	 2.3035 	 31.1326 	 -0.1771 	 23272
16 	 2.3945 	 2.2625 	 31.2762 	 -0.0335 	 21136
17 	 2.3536 	 2.2216 	 31.3865 	 0.0768 	 19543
18 	 2.3126 	 2.1806 	 31.5356 	 0.2259 	 18471
19 	 2.2716 	 2.1396 	 31.7300 	 0.4203 	 17810
20 	 2.2307 	 2.0987 	 31.9028 	 0.5931 	 17475
21 	 2.1897 	 2.0577 	 32.1245 	 0.8148 	 17529
22 	 2.1487 	 2.0167 	 32.4490 	 1.1393 	 17586
23 	 2.1078 	 1.9758 	 32.7757 	 1.4660 	 17224
24 	 2.0668 	 1.9348 	 33.2030 	 1.8933 	 16168
25 	 2.0258 	 1.8938 	 33.7781 	 2.4684 	 14765
26 	 1.9849 	 1.8529 	 34.4873 	 3.1776 	 12685
27 	 1.9439 	 1.8119 	 35.7057 	 4.3960 	 9414
28 	 1.9029 	 1.7709 	 37.9617 	 6.6520 	 5558
29 	 1.8620 	 1.7300 	 43.5091 	 12.1994 	 2339
30 	 1.8210 	 1.6890 	 58.8431 	 27.5334 	 714
